date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2022-01-01,1,901091,TZ02,1180.0,7.2,20.408926,62.68983,89.09381,138.1322,197.39053,48.01462,71.93867,70.720795,final
2022-01-11,1,901091,TZ02,1180.0,27.694067,24.95952,70.12797,81.58802,160.98897,215.60631,109.12747,86.764854,75.242165,final
2022-01-21,1,901091,TZ02,1180.0,33.49576,24.836695,68.38983,70.20514,188.71693,231.3263,129.02153,97.58619,81.970116,final
2022-02-01,1,901091,TZ02,1180.0,40.25424,18.054096,101.44406,67.85031,211.36186,229.4013,196.29587,146.1134,92.30403,final
2022-02-11,1,901091,TZ02,1180.0,57.198303,26.554464,130.9483,69.44525,255.70508,235.426,197.1141,182.61514,108.43464,final
2022-02-21,1,901091,TZ02,1180.0,34.727966,15.857514,132.18051,60.466072,272.87372,224.96014,190.47316,209.54445,120.8356,final
2022-03-01,1,901091,TZ02,1180.0,14.105932,38.44534,106.0322,80.857315,270.1661,237.80144,43.976944,129.32178,113.32968,final
2022-03-11,1,901091,TZ02,1180.0,21.771187,36.645283,70.60509,90.948135,271.68137,241.98141,64.283844,78.797874,112.02518,final
2022-03-21,1,901091,TZ02,1180.0,24.018644,44.542374,59.895767,119.632996,260.4661,250.30421,58.573383,52.069492,103.9803,final
2022-04-01,1,901091,TZ02,1180.0,21.734745,59.500168,67.52458,140.68782,275.00082,289.39545,41.44911,49.78081,95.11044,final
2022-04-11,1,901091,TZ02,1180.0,43.278812,45.678616,89.032196,149.72116,290.58557,310.11456,95.26466,60.77527,93.802574,final
2022-04-21,1,901091,TZ02,1180.0,70.92627,44.02706,135.93982,149.20584,328.01608,329.3049,154.86604,91.397194,99.61448,final
2022-05-01,1,901091,TZ02,1180.0,9.848305,23.148842,124.05338,112.854515,297.61014,334.39966,52.74926,109.50228,89.160416,final
2022-05-11,1,901091,TZ02,1180.0,8.427966,17.729322,89.20254,84.90523,248.83983,325.57452,59.07772,104.77983,76.787476,final
2022-05-21,1,901091,TZ02,1180.0,19.58051,15.133814,37.85678,56.01198,233.69237,324.85083,122.0857,70.243225,72.36373,final
2022-06-01,1,901091,TZ02,1180.0,5.105932,6.0378532,33.11441,38.90099,224.69237,292.44333,91.557045,86.81902,77.22223,final
2022-06-11,1,901091,TZ02,1180.0,3.4440677,3.3095198,28.130508,24.481186,206.36522,259.10757,101.61921,112.37848,80.02997,final
2022-06-21,1,901091,TZ02,1180.0,2.8491526,2.657401,11.399153,12.004774,185.19572,217.2226,102.504135,96.43852,85.58793,final
2022-07-01,1,901091,TZ02,1180.0,1.7194915,1.5012147,8.0127125,7.4681354,165.1805,159.22365,103.35747,104.367744,103.62727,final
2022-07-11,1,901091,TZ02,1180.0,1.2449152,1.1738418,5.8135595,5.3324575,123.146614,114.71887,101.15119,104.65622,107.039604,final
2022-07-21,1,901091,TZ02,1180.0,1.3635594,1.3740678,4.327966,4.0491242,53.5839,72.06587,99.83514,103.08144,76.01796,final
2022-08-01,1,901091,TZ02,1180.0,1.6525424,1.7902825,4.261017,4.338192,45.388138,50.707317,97.97151,99.17355,90.45156,final
2022-08-11,1,901091,TZ02,1180.0,1.920339,1.885904,4.936441,5.0502543,38.880505,34.8639,100.500084,98.86756,110.0758,final
2022-08-21,1,901091,TZ02,1180.0,3.2398305,2.240452,6.8127117,5.9166384,22.539831,21.970537,113.802704,108.20832,102.1108,final
2022-09-01,1,901091,TZ02,1180.0,1.7101694,1.130791,6.870339,5.257147,19.144068,17.063475,109.4503,115.727486,109.43004,final
2022-09-11,1,901091,TZ02,1180.0,0.8694915,1.0229943,5.8194914,4.394237,16.56949,14.776949,97.45139,115.17158,109.06379,final
2022-09-21,1,901091,TZ02,1180.0,1.9084746,1.9622599,4.4881353,4.116045,15.628815,14.081808,99.22748,104.0817,108.10723,final
2022-10-01,1,901091,TZ02,1180.0,5.918644,5.3002543,8.6966095,8.285508,19.827967,17.880848,106.00363,103.09436,108.50981,final
2022-10-11,1,901091,TZ02,1180.0,6.6898303,6.8407907,14.516949,14.103305,25.272882,23.547796,98.72509,102.16529,106.0428,final
2022-10-21,1,901091,TZ02,1180.0,6.794915,9.307344,19.403389,21.44839,30.704239,31.481073,82.43958,92.26796,97.87059,final
2022-11-01,1,901091,TZ02,1180.0,15.388136,19.65918,28.87288,35.807316,44.439827,49.34997,82.6797,83.006874,90.96569,final
2022-11-11,1,901091,TZ02,1180.0,27.005085,20.759888,49.188137,49.726414,69.52458,68.22395,124.24388,99.01642,101.77623,final
2022-11-21,1,901091,TZ02,1180.0,18.009321,26.63308,60.402542,67.05215,84.29407,92.616585,72.73817,90.77112,91.47427,final
2022-12-01,1,901091,TZ02,1180.0,24.314407,27.279575,69.32881,74.67254,106.8983,118.765366,90.81411,93.292885,90.411644,final
2022-12-11,1,901091,TZ02,1180.0,32.422035,34.002796,74.745766,87.91545,138.45084,151.74516,95.94706,85.826164,91.51851,final
2022-12-21,1,901091,TZ02,1180.0,62.742374,35.145,119.47882,96.427376,199.28474,184.9279,168.74423,122.72705,107.5591,final
2023-01-01,1,901091,TZ02,1180.0,10.219492,20.408926,105.3839,89.09381,203.5856,197.39053,59.89821,117.31261,103.06095,final
2023-01-11,1,901091,TZ02,1180.0,8.2220335,24.95952,81.1839,81.58802,205.1178,215.60631,44.132996,99.53329,95.2456,final
2023-01-21,1,901091,TZ02,1180.0,12.283051,24.836695,30.724575,70.20514,210.60594,231.3263,57.925488,47.50284,91.232315,final
2023-02-01,1,901091,TZ02,1180.0,10.890678,18.054096,31.395763,67.85031,206.10849,229.4013,68.92779,49.959652,90.06284,final
2023-02-11,1,901091,TZ02,1180.0,5.911017,26.554464,29.084745,69.44525,185.0144,235.426,34.578358,45.784985,79.03239,final
2023-02-21,1,901091,TZ02,1180.0,5.5466104,15.857514,22.348305,60.466072,172.55171,224.96014,50.56504,41.774776,77.20978,final
2023-03-01,1,901091,TZ02,1180.0,16.25,38.44534,27.707626,80.857315,164.48729,237.80144,48.912037,38.09533,69.80489,final
2023-03-11,1,901091,TZ02,1180.0,27.563559,36.645283,49.36017,90.948135,159.6288,241.98141,78.19267,56.65578,66.65635,final
2023-03-21,1,901091,TZ02,1180.0,62.09322,44.542374,105.906784,119.632996,158.97966,250.30421,135.42592,88.986694,64.229126,final
2023-04-01,1,901091,TZ02,1180.0,56.328815,59.500168,145.9856,140.68782,205.08899,289.39545,95.08319,103.63638,71.362854,final
2023-04-11,1,901091,TZ02,1180.0,51.8,45.678616,170.22203,149.72116,248.66695,310.11456,112.078835,113.250206,80.49991,final
2023-04-21,1,901091,TZ02,1180.0,92.57966,44.02706,200.70847,149.20584,328.96356,329.3049,199.03224,133.39862,99.897896,final
2023-05-01,1,901091,TZ02,1180.0,21.000847,23.148842,165.3805,112.854515,339.07373,334.39966,92.36915,144.5685,101.37715,final
2023-05-11,1,901091,TZ02,1180.0,12.578814,17.729322,126.15932,84.90523,345.74155,325.57452,77.339806,145.8862,106.10059,final
2023-05-21,1,901091,TZ02,1180.0,15.508474,15.133814,49.088135,56.01198,355.70343,324.85083,101.860855,88.651665,109.35351,final
2023-06-01,1,901091,TZ02,1180.0,8.7322035,6.0378532,36.819492,38.90099,348.18564,292.44333,124.410095,95.25865,118.74048,final
2023-06-11,1,901091,TZ02,1180.0,5.2881355,3.3095198,29.528812,24.481186,325.91022,259.10757,123.81143,117.12152,125.29372,final
2023-06-21,1,901091,TZ02,1180.0,3.7381356,2.657401,17.758474,12.004774,267.55508,217.2226,114.113594,133.83578,122.64959,final
2023-07-01,1,901091,TZ02,1180.0,1.3016949,1.5012147,10.327966,7.4681354,212.52794,159.22365,96.93104,122.9371,132.45836,final
2023-07-11,1,901091,TZ02,1180.0,0.91694915,1.1738418,5.9567795,5.3324575,161.6449,114.71887,95.83901,106.042336,139.19685,final
2023-07-21,1,901091,TZ02,1180.0,0.98050845,1.3740678,3.1991525,4.0491242,70.04576,72.06587,93.825615,90.60714,97.378716,final
